latitud hospital,longitud hospital
-33.442394,-70.679188
-33.434891,-70.658236
-33.460498,-70.64232
-33.444004,-70.637955
-33.423625,-70.741664
-33.416586,-70.653318
-33.415335,-70.655086
-33.418128,-70.652105
-33.514161,-70.599148
-33.508212,-70.774248
-33.501328,-70.579408
-33.460454,-70.569892
-33.43664,-70.624493
-33.430592,-70.615846
-33.437988,-70.621882
-33.436888,-70.622448
-33.434825,-70.622227
-33.418942,-70.605168
-33.422402,-70.650537
-33.485147,-70.644439
-33.484761,-70.648129
-33.485344,-70.645169
-33.5525,-70.635024
-33.579233,-70.551417
-33.577251,-70.581781
-33.569382,-70.554425
-33.641256,-70.352299
-33.086793,-70.924522
-33.58435,-70.676793
-33.592835,-70.697393
-33.734263,-70.739547
-33.69526,-71.214668
-33.4095,-71.145664
-33.66801,-70.920339
-33.61001,-70.904125
